,Investigation,Date,Location,Country,Damage,Make,Model,EnginesNo,EngineType,Carrier,Weather,Phase,GeoPoint,Make_Model
123618,Accident,2013-07-22,Flushing_NY,US,Substantial,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Landing,"40.777223, -73.8725",Boeing_737
123620,Accident,2013-07-06,SanFrancisco_CA,US,Destroyed,Boeing,777,2,Turbo_Fan,Asiana_airlines,VMC,Approach,"37.613333, -122.363889",Boeing_777
123662,Accident,2015-06-10,McCook_NE,US,Missing,Bombardier,CL600_2D24,2,Turbo_Fan,Mesa_Airlines,UNK,Other,"39.497222, -102.193889",Bombardier_CL600_2D24
123664,Incident,2015-06-05,WindsorLocks_CT,US,Minor,Bombardier,DHC_8,2,Turbo_Prop,Champlain_enterprises_inc_(dba:_commutair___united_express),VMC,Approach,"41.939166, -72.683334",Bombardier_DHC_8
123669,Accident,2015-05-16,Homer_AK,US,Substantial,Piper,PA_31,2,Reciprocating,J_and_m_alaska_air_tours_inc_(dba:_alaska_air_transit),VMC,Landing,"59.647777, -151.47",Piper_PA_31
123695,Accident,2013-01-15,Pellston_MI,US,Destroyed,Cessna,208,1,Turbo_Prop,Martinaire_Aviation,VMC,Takeoff,"45.563333, -84.826111",Cessna_208
123697,Accident,2012-12-27,MiddleBassIsland_OH,US,Substantial,Piper,PA-32,1,Reciprocating,"Griffing_flying_service,_inc.",VMC,Landing,"41.688333, -82.808056",Piper_PA-32
123709,Accident,2010-12-22,SaintMichael_AK,US,Substantial,Piper,PA_31,2,Reciprocating,Bering_air_inc_(dba:_bering_air_inc.),VMC,Landing,"60.49, -162.110278",Piper_PA_31
123713,Accident,2010-11-23,SaltLakeCity_UT,US,Substantial,Bombardier,CL_600_2C10,2,Turbo_Fan,Skywest_Airlines,IMC,Taxi,"40.788333, -111.977778",Bombardier_CL_600_2C10
124016,Accident,2012-02-23,Pawnee_NE,US,Missing,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,"40.168889, -96.151944",Boeing_737
124411,Accident,2011-06-30,Casper_WY,US,Substantial,Piper,PA_31,2,Reciprocating,Fowler_richard_l,VMC,Landing,"42.901667, -106.460278",Piper_PA_31
124421,Accident,2011-06-11,SanFransico_CA,US,Substantial,Boeing,757,2,Turbo_Jet,United_Airlines,VMC,Other,"37.618056, -122.387777",Boeing_757
124433,Accident,2011-04-26,ElPaso_TX,US,Substantial,Cessna,208,1,Turbo_Prop,Martinaire_Aviation,IMC,Standing,"31.807222, -106.3775",Cessna_208
124460,Accident,2013-05-30,KingSalmon_AK,US,Substantial,Cessna,U206G,1,Reciprocating,Steller_air,VMC,Landing,"58.554722, -155.773056",Cessna_U206G
124470,Incident,2013-02-25,Dallas_TX,US,Minor,Boeing,747,4,Turbo_Fan,China_Airlines,UNK,Taxi,"32.901944, -97.041944",Boeing_747
124480,Accident,2012-12-03,Mekoryuk_AK,US,Substantial,Cessna,208,1,Turbo_Prop,Hageland_aviation_services_(dba:_era_alaska),VMC,Takeoff,"60.4, -166.336944",Cessna_208
124485,Accident,2012-10-16,LasVegas_NV,US,Missing,Boeing,737,2,Turbo_Fan,Southwest_Airlines,VMC,Other,"36.08, -115.152222",Boeing_737
124612,Accident,2017-07-22,ArcticVillage_AK,US,Substantial,Cessna,A185,1,Reciprocating,Myles_s._thomas,VMC,Takeoff,"68.133889, -145.553889",Cessna_A185
124620,Accident,2017-07-03,ElPaso_TX,US,Substantial,Beech,A36,1,Reciprocating,"Gta_air,_inc.",VMC,Climb,"31.812222, -106.382778",Beech_A36
